Time Scale; Number of Packets; Total data (b); 
199.000000; 2942; 2192611; 
200.000000; 2554; 1919092; 
201.000000; 1948; 1464521; 
202.000000; 2387; 1784315; 
203.000000; 2351; 1760195; 
204.000000; 2174; 1617084; 
205.000000; 2117; 1600996; 
206.000000; 2596; 1935903; 
207.000000; 2946; 2216687; 
208.000000; 2863; 2145212; 
209.000000; 2509; 1874643; 
210.000000; 2844; 2132226; 
211.000000; 2667; 1996448; 
212.000000; 2873; 2153557; 
213.000000; 2580; 1924856; 
214.000000; 2469; 1849720; 
215.000000; 2156; 1616218; 
216.000000; 2146; 1611134; 
217.000000; 2687; 2008238; 
218.000000; 2430; 1828698; 
219.000000; 2835; 2118913; 
220.000000; 1828; 1390126; 
221.000000; 2982; 2241547; 
222.000000; 2146; 1598088; 
223.000000; 2308; 1722324; 
224.000000; 2127; 1590374; 
225.000000; 2802; 2101962; 
226.000000; 2191; 1638906; 
227.000000; 1982; 1487275; 
228.000000; 2850; 2139889; 
229.000000; 2180; 1635775; 
230.000000; 2892; 2161838; 
231.000000; 1875; 1407065; 
232.000000; 1804; 1350221; 
233.000000; 2544; 1901686; 
234.000000; 2160; 1621343; 
235.000000; 2891; 2162363; 
236.000000; 2036; 1535256; 
237.000000; 2388; 1775134; 
238.000000; 2332; 1734894; 
239.000000; 2666; 1999581; 
240.000000; 2360; 1772012; 
241.000000; 2692; 2012308; 
242.000000; 1966; 1470053; 
243.000000; 2665; 2006281; 
244.000000; 2867; 2154332; 
245.000000; 2043; 1528388; 
246.000000; 2442; 1821978; 
247.000000; 2642; 1970966; 
248.000000; 2409; 1810090; 
249.000000; 2535; 1887837; 
250.000000; 2453; 1836023; 
251.000000; 2256; 1690247; 
252.000000; 2929; 2199037; 
253.000000; 1891; 1415182; 
254.000000; 2168; 1623529; 
255.000000; 2986; 2239193; 
256.000000; 2217; 1670312; 
257.000000; 2091; 1544034; 
258.000000; 2227; 1667001; 
259.000000; 2993; 2236393; 
260.000000; 2584; 1937624; 
261.000000; 2099; 1564031; 
262.000000; 2019; 1518447; 
263.000000; 2304; 1736530; 
264.000000; 2343; 1751452; 
265.000000; 2661; 1983265; 
266.000000; 2482; 1851830; 
267.000000; 2766; 2074113; 
268.000000; 1875; 1402340; 
269.000000; 2939; 2195111; 
270.000000; 2072; 1563754; 
271.000000; 2356; 1768888; 
272.000000; 2164; 1621177; 
273.000000; 2010; 1511444; 
274.000000; 2613; 1972714; 
275.000000; 2428; 1831968; 
276.000000; 2018; 1522510; 
277.000000; 2719; 2029881; 
278.000000; 1864; 1388625; 
279.000000; 2706; 2039900; 
280.000000; 2648; 1983908; 
281.000000; 2143; 1607860; 
282.000000; 2868; 2147268; 
283.000000; 2648; 1977491; 
284.000000; 1818; 1360102; 
285.000000; 2595; 1950830; 
286.000000; 2122; 1583131; 
287.000000; 2369; 1770892; 
288.000000; 2395; 1797218; 
289.000000; 2384; 1791801; 
290.000000; 2925; 2199845; 
291.000000; 2759; 2064628; 
292.000000; 1908; 1426204; 
293.000000; 2261; 1700978; 
294.000000; 2722; 2036160; 
295.000000; 2940; 2196679; 
296.000000; 2635; 1985965; 
297.000000; 2682; 2006227; 
298.000000; 2699; 2020459; 
299.000000; 1914; 1436267; 
300.000000; 1858; 1395594; 
301.000000; 2682; 2006387; 
302.000000; 2244; 1678905; 
303.000000; 1836; 1364571; 
304.000000; 1948; 1465114; 
305.000000; 2240; 1680195; 
306.000000; 2029; 1513290; 
307.000000; 2757; 2043172; 
308.000000; 2339; 1745223; 
309.000000; 2109; 1591463; 
310.000000; 2620; 1976760; 
311.000000; 2598; 1939260; 
312.000000; 2032; 1523878; 
313.000000; 2619; 1964197; 
314.000000; 2445; 1841051; 
315.000000; 2698; 2034935; 
316.000000; 2440; 1840141; 
317.000000; 2507; 1869001; 
318.000000; 2084; 1556610; 
319.000000; 2940; 2195806; 
320.000000; 2988; 2244380; 
321.000000; 2588; 1930932; 
322.000000; 1897; 1419031; 
323.000000; 1871; 1401199; 
324.000000; 2717; 2042101; 
325.000000; 2982; 2253251; 
326.000000; 2670; 2009139; 
327.000000; 2949; 2209123; 
328.000000; 2796; 2077317; 
329.000000; 2842; 2135966; 
330.000000; 1825; 1366549; 
331.000000; 2992; 2245056; 
332.000000; 1949; 1463183; 
333.000000; 2459; 1849334; 
334.000000; 2583; 1936671; 
335.000000; 2322; 1751390; 
336.000000; 2035; 1532958; 
337.000000; 2893; 2171735; 
338.000000; 2965; 2213082; 
339.000000; 2476; 1850524; 
340.000000; 2497; 1861110; 
341.000000; 2861; 2163168; 
342.000000; 2367; 1760617; 
343.000000; 2887; 2151481; 
344.000000; 2068; 1543280; 
345.000000; 2705; 2022858; 
346.000000; 2752; 2064340; 
347.000000; 1849; 1390267; 
348.000000; 2901; 2180037; 
349.000000; 1971; 1466238; 
350.000000; 2632; 1981768; 
351.000000; 2894; 2176853; 
352.000000; 2340; 1743958; 
353.000000; 2816; 2113324; 
354.000000; 2575; 1931620; 
355.000000; 2099; 1574318; 
356.000000; 2575; 1915145; 
357.000000; 2090; 1568226; 
358.000000; 2788; 2092031; 
359.000000; 2434; 1824953; 
360.000000; 2879; 2146659; 
361.000000; 2898; 2186242; 
362.000000; 2806; 2117523; 
363.000000; 2893; 2174159; 
364.000000; 2031; 1523954; 
365.000000; 2049; 1531166; 
366.000000; 1971; 1473741; 
367.000000; 2960; 2220060; 
368.000000; 2882; 2160901; 
369.000000; 2155; 1603449; 
370.000000; 1925; 1433429; 
371.000000; 2752; 2059042; 
372.000000; 2643; 1981849; 
373.000000; 2118; 1584365; 
374.000000; 1821; 1370598; 
375.000000; 2887; 2164156; 
376.000000; 1807; 1355003; 
377.000000; 1891; 1413985; 
378.000000; 1974; 1483543; 
379.000000; 2161; 1620415; 
380.000000; 2902; 2184014; 
381.000000; 2218; 1677991; 
382.000000; 2278; 1703460; 
383.000000; 2467; 1839494; 
384.000000; 2793; 2089147; 
385.000000; 2638; 1976557; 
386.000000; 2747; 2053173; 
387.000000; 1827; 1365126; 
388.000000; 2993; 2241173; 
389.000000; 2872; 2156536; 
390.000000; 1897; 1422482; 
391.000000; 1877; 1404564; 
392.000000; 1918; 1445695; 
393.000000; 2754; 2073640; 
394.000000; 1884; 1403660; 
395.000000; 1848; 1378850; 
396.000000; 2181; 1631906; 
397.000000; 1939; 1447452; 
398.000000; 1913; 1437255; 
399.000000; 2605; 1943147; 
400.000000; 2071; 1547742; 
401.000000; 2410; 1795308; 
402.000000; 2870; 2164940; 
403.000000; 2351; 1754439; 
404.000000; 2378; 1782513; 
405.000000; 2394; 1789958; 
406.000000; 2841; 2131262; 
407.000000; 2138; 1607208; 
408.000000; 2492; 1860577; 
409.000000; 2708; 2024082; 
410.000000; 2215; 1655702; 
411.000000; 2610; 1962576; 
412.000000; 2300; 1717131; 
413.000000; 2659; 2000686; 
414.000000; 1996; 1489725; 
